srcStateName,srcYear,Budget type,Total expenditure,Developmental expenditure,Social services,"Education, sports, art and culture",Medical and public health,Family welfare,Water supply and sanitation,Housing,Urban development,"Welfare of scheduled caste, scheduled tribes and other backward classes",Labour and labour welfare,Social security and welfare,Nutrition,Relief on account of natural calamities,Other social services,Economic services,Agriculture and allied activities,Crop husbandry,Soil and water conservation,Animal husbandry,Dairy development,Fisheries,Forestry and wild life,Plantations,Food storage and Warehousing,Agricultural research and education,Agricultural finance institutions,Cooperation,Other agricultural programmes,Rural development,Special area programmes,Irrigation and flood control,Major and medium irrigation,Minor irrigation,Flood control and drainage,Energy,Power,Industry and minerals,Village and small industries,Industries,Other industries,Transport and communications,Roads and bridges,Others means of transport and communications,"Science, technology and environment",General economic services,Secretariat services,Tourism,Civil supplies,Others general economic services,Non developmental expenditure,Organs of state,Fiscal services,Collection of taxes and duties,Other fiscal services,Interest payments and services of debt,Appropriation for reduction or avoidance of debt,Interest payments,Interest on loans from the centre,Interest on internal debt,Interest on market loans,Interest on National Food Security Food ( NSSF ),"Interest on small savings, provident funds, etc",Other interests on internal debt,Administrative services,Secretariat services,District administration,Police,Public works,Other administrative services,Pensions,Miscellaneous general services,Payment on account of state lotteries,Grants-in-aid and contributions,Compensation and assignments to local bodies and Panchayati Raj Institutions,"Transfers to road fund, education cess fund, etc",Reserve with finance department,YearCode,Year
JHARKHAND,2011-12,Accounts,2099158,1314603,728703,405589,75657,6908,33958,2311,10603,62399,12744,81043,33355,2435,6570,585900,98060,30370,2582,10775,6082,3756,21829,0,0,8475,0,13848,344,168861,0,28208,21990,6202,0,85983,82483,21116,10746,10370,0,82998,27721,55277,0,100673,2477,707,95495,1994,784555,28412,24547,24310,237,226708,0,226708,16581,194120,61865,98567,15777,230,275220,5513,33157,209871,7846,18834,229669,0,0,0,0,0,0,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011-12,Accounts,5974446,3806414,2454578,1170796,221928,43807,64560,43773,431056,152173,41424,51056,164455,54632,14918,1351836,290863,126568,14807,34792,8361,5353,31465,0,8568,43033,0,16780,1136,145404,5840,92626,49623,38037,3781,335871,333971,79005,33562,45433,10,337767,262508,75259,15424,49037,8638,8431,22790,9178,2148054,52877,41399,41132,267,1123386,30000,1093386,72688,912555,389014,492623,60094,48048,308651,12691,22998,216570,22423,33969,614484,7256,0,19978,19978,0,0,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011-12,Revised Estimates,6037165,3845153,2484987,1199027,229889,43956,65808,46236,431276,151398,43906,52021,165948,39501,16020,1360166,293276,127628,14765,35318,8539,5520,31888,0,8795,43188,0,16494,1139,154826,0,98755,51765,40555,5187,335692,334066,80999,34051,46934,14,321317,246761,74556,12125,56733,9410,8431,22895,15996,2172956,66023,46754,6727,276,1124823,30000,1094823,72677,913280,389023,492623,60800,48066,330627,14886,27493,223980,30022,34247,597762,6968,0,19056,19056,0,0,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2011-12,Budget Estimates,5944232,3605413,2355320,1091162,223817,42434,64700,47920,429423,139278,45814,51842,149651,53245,16034,1250093,268506,116439,12819,25721,8375,5761,30288,0,14718,36469,0,16912,1004,159453,0,103522,57041,40568,4553,293892,291991,86919,35076,51828,15,251412,196446,54966,19497,60022,10684,5536,29990,13811,2323446,66182,63706,63442,264,1176061,100000,1076061,72795,908872,387652,486089,44992,49402,324471,21875,32518,216354,16113,37610,537052,155974,0,15373,15373,0,0,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011-12,Budget Estimates,9716963,6595081,4103660,1736380,419122,83053,72833,97798,334069,542994,34210,358562,352487,54465,17685,2491421,411815,214699,6478,63103,0,9009,41500,0,0,45100,0,30672,1255,409938,0,851654,779997,57587,11656,443055,442181,90560,61113,28148,1300,182758,158789,23969,1872,99768,61378,1903,18164,18322,3084927,88279,121188,115478,5710,1205938,62210,1143728,114807,945372,572647,244818,83548,1,700238,95737,121775,367145,38244,77337,969272,11,0,36955,36955,0,0,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011-12,Revised Estimates,9641457,6580293,4067977,1688761,428948,83053,73656,97798,334069,543196,30998,364015,352487,53528,17469,2512316,413291,214580,6736,65572,0,7687,42066,0,0,45100,0,30352,1198,409822,0,882728,811526,58323,10465,442098,441163,90567,61128,28138,1300,180527,156667,23860,1897,91386,61366,1899,18172,9949,3024208,87987,120097,114385,5712,1141217,62210,1079007,114807,883343,520225,265916,80856,1,608686,16651,121773,358416,36638,75209,1066199,21,0,36955,36955,0,0,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011-12,Accounts,9041536,6032618,3801691,1493416,419305,83243,39269,53748,238799,575640,26443,401603,307312,127698,35215,2230926,418827,260168,3036,45127,0,7113,33531,0,0,52285,0,16589,978,368049,0,689508,634933,41036,11713,441583,440739,47043,27604,18338,1100,163931,150615,13316,1284,100702,66574,3079,15300,15748,2987419,77412,92364,86729,5635,1117100,61022,1056077,97044,881361,521878,266290,77672,0,589521,13812,81152,397959,26313,70286,1110985,37,0,21499,21499,0,0,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2011-12,Budget Estimates,6503433,4217810,2487875,1214834,261360,38666,24391,119224,71395,293336,41606,316783,61914,17606,26760,1729935,634348,250486,27982,52148,29800,15440,97816,0,90376,26512,0,43788,0,206398,0,110727,23552,16106,0,432496,430528,74711,52958,21753,0,146114,118898,27217,4789,106855,17904,8879,1755,78317,1851287,69887,72541,71868,673,695000,0,695000,81898,491973,263923,204311,121117,12,460556,9605,30514,235608,45863,138967,550000,3303,0,434336,434336,0,0,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2011-12,Revised Estimates,6525382,4336995,2589914,1265483,261923,38331,24442,109225,76024,296721,36170,369765,62414,17606,31810,1747081,582731,194431,26082,53899,35931,11495,98244,0,86532,33620,0,42499,0,195922,0,101887,23543,16750,0,518176,516208,72091,49631,22460,0,147503,120098,27406,4389,107354,18191,9487,2017,77660,1749322,72587,80196,79523,673,600000,0,600000,76796,418653,186386,208011,104539,12,427121,10442,31368,233922,47055,104335,566000,3418,0,439066,439066,0,0,2011,"Financial Year (Apr - Mar), 2011"
KARNATAKA,2011-12,Accounts,6511507,4432563,2517174,1224005,258934,36886,22567,104931,59778,293951,26129,367330,64647,23937,34079,1915390,550108,169182,22649,51125,36814,9908,80385,0,82907,36586,0,60551,0,194904,13462,61148,21360,15875,20,532607,530936,74645,54110,20534,0,169531,135309,34222,4004,314982,14765,10708,1344,288166,1644548,65590,63814,63188,625,606185,0,606185,77575,418555,186366,208011,110047,8,362199,8743,28158,221871,51581,51846,543620,3141,0,434396,434396,0,0,2011,"Financial Year (Apr - Mar), 2011"
