srcStateName,srcYear,Budget type,Total expenditure,Developmental expenditure,Social services,"Education, sports, art and culture",Medical and public health,Family welfare,Water supply and sanitation,Housing,Urban development,"Welfare of scheduled caste, scheduled tribes and other backward classes",Labour and labour welfare,Social security and welfare,Nutrition,Relief on account of natural calamities,Other social services,Economic services,Agriculture and allied activities,Crop husbandry,Soil and water conservation,Animal husbandry,Dairy development,Fisheries,Forestry and wild life,Plantations,Food storage and Warehousing,Agricultural research and education,Agricultural finance institutions,Cooperation,Other agricultural programmes,Rural development,Special area programmes,Irrigation and flood control,Major and medium irrigation,Minor irrigation,Flood control and drainage,Energy,Power,Industry and minerals,Village and small industries,Industries,Other industries,Transport and communications,Roads and bridges,Others means of transport and communications,"Science, technology and environment",General economic services,Secretariat services,Tourism,Civil supplies,Others general economic services,Non developmental expenditure,Organs of state,Fiscal services,Collection of taxes and duties,Other fiscal services,Interest payments and services of debt,Appropriation for reduction or avoidance of debt,Interest payments,Interest on loans from the centre,Interest on internal debt,Interest on market loans,Interest on National Food Security Food ( NSSF ),"Interest on small savings, provident funds, etc",Other interests on internal debt,Administrative services,Secretariat services,District administration,Police,Public works,Other administrative services,Pensions,Miscellaneous general services,Payment on account of state lotteries,Grants-in-aid and contributions,Compensation and assignments to local bodies and Panchayati Raj Institutions,"Transfers to road fund, education cess fund, etc",Reserve with finance department,YearCode,Year
MIZORAM,2013-14,Accounts,491698,323037,182365,93609,21830,2971,13693,648,7244,24515,791,10277,4114,1524,1150,140672,66454,26325,5211,13607,124,2739,9246,0,6285,1206,0,1255,458,5769,3787,1026,1,1026,0,31711,31706,12333,11772,560,0,14442,10323,4119,297,4854,1207,610,1448,1588,168662,9306,6020,5898,122,30740,2290,28450,2316,17734,15688,1943,8400,0,69936,8359,3830,39896,4849,13001,52458,203,203,0,0,0,0,2013,"Financial Year (Apr - Mar), 2013"
TRIPURA,2013-14,Revised Estimates,714005,432109,306450,125204,28572,18069,10834,250,25422,37247,2517,46096,6344,3536,2359,125659,45092,21639,378,6041,139,4304,9319,0,1508,45,0,1700,20,27974,979,5103,15,4230,858,4403,4146,5441,4020,0,1421,27344,24778,2566,532,8791,340,726,6599,1126,267193,9682,5042,4800,242,71000,5000,66000,276,35961,10000,20252,29747,16,106368,4639,4530,79234,6181,11783,75100,0,0,14703,14703,0,0,2013,"Financial Year (Apr - Mar), 2013"
TRIPURA,2013-14,Accounts,594896,345618,240789,113681,27062,3308,8773,246,11994,27442,2109,35500,6109,2142,2423,104829,42498,21867,676,5793,125,3836,7191,0,1445,45,0,1501,20,15319,777,4085,14,3494,577,4378,4163,5089,3690,0,1399,24842,21321,3520,506,7335,273,191,5959,912,234529,8012,3732,3540,192,64096,5000,59096,2950,34709,18551,11808,21437,0,90964,3823,4410,66484,6362,9884,67725,0,0,14749,14749,0,0,2013,"Financial Year (Apr - Mar), 2013"
TAMIL NADU,2013-14,Accounts,10982467,6492035,4527590,2115584,448651,94427,63883,29745,196757,283376,37269,894868,259130,79574,24325,1964445,679888,433826,9276,74119,4347,24623,27734,3,1041,50876,0,42613,11431,97334,480,127353,104953,8973,11573,186838,186566,154767,94800,59967,0,194724,140434,54290,1273,521788,7421,1832,497398,15136,3572924,81687,85527,83835,1692,1269298,28821,1240478,50146,976872,672763,225279,198759,14700,624947,16598,92635,395991,32538,87186,1486030,25434,0,917508,917508,0,0,2013,"Financial Year (Apr - Mar), 2013"
TAMIL NADU,2013-14,Revised Estimates,11656420,6903200,4686225,2105361,471565,93627,64784,64073,239051,285706,44714,940531,259999,91475,25339,2216975,705864,433667,13250,75089,5586,26052,34446,4,2129,50711,0,54400,10531,149580,623,109222,86779,9405,10875,292307,291768,217606,99492,118114,0,194820,140932,53888,1449,545503,8706,2396,512164,22238,3739244,94827,99815,98122,1693,1271386,28700,1242686,50452,987526,672764,225279,189161,15547,693053,35412,101554,420930,41400,93758,1549922,30242,0,1013976,1013976,0,0,2013,"Financial Year (Apr - Mar), 2013"
TAMIL NADU,2013-14,Budget Estimates,11791581,6715619,4344956,1997488,470281,96339,31400,69697,220104,230369,46761,846654,281356,38288,16220,2370663,682152,423044,13038,67394,8894,26972,31811,5,2000,45655,0,48502,14838,155238,844,91566,74389,10123,4157,537878,537539,217777,102517,115260,0,155642,103253,52389,1200,528366,9762,5234,502651,10720,3985880,86725,100699,98900,1799,1423052,120000,1303052,49818,1078944,713710,233612,162354,11936,682294,35933,95476,421312,35053,94520,1661779,31331,0,1090081,1090081,0,0,2013,"Financial Year (Apr - Mar), 2013"
PUNJAB,2013-14,Budget Estimates,4441246,2462796,1343412,706956,214013,22844,43444,10000,16794,73692,20045,152733,25954,50096,6841,1119383,177212,49605,15802,36068,5447,2976,16928,0,0,40578,0,9219,588,75872,0,134257,105264,15196,13797,578590,578500,16328,8574,7754,0,67060,33351,33709,2162,67902,9696,706,53388,4112,1912148,42176,46609,46336,273,760180,0,760180,26086,564809,338700,208554,137476,31808,540752,17235,26640,399483,0,97394,516841,5590,5225,66303,66303,0,0,2013,"Financial Year (Apr - Mar), 2013"
MAHARASHTRA,2013-14,Accounts,15490242,9887040,7087908,3823781,619704,61891,103835,151380,439936,795138,76740,294207,246609,458745,15940,2799132,782123,291049,3769,86656,63236,13307,141748,0,21261,67519,0,84707,8871,312998,3335,274180,194179,73649,3854,572612,561852,254856,15496,239361,0,472906,430060,42846,8373,117748,64641,43084,0,10023,5397927,143455,257503,257113,390,2279904,159200,2120704,57200,1667994,889618,721773,360879,34631,1400815,24672,370674,807419,121463,76587,1297769,18480,7216,205275,233209,0,0,2013,"Financial Year (Apr - Mar), 2013"
MAHARASHTRA,2013-14,Revised Estimates,16142697,10395083,7404779,3906050,643391,64681,120511,185080,530028,832159,83947,304164,274308,441759,18701,2990304,830612,328226,4277,91032,60729,13792,142927,0,22932,66423,0,91403,8872,352233,3581,294062,193643,93906,3918,576493,565296,265236,25268,239968,0,516225,472215,44010,7892,143969,79494,44884,0,19592,5517142,174161,271352,270941,411,2296516,159200,2137316,62743,1665184,883607,722164,373131,36258,1489335,27129,368096,879026,130491,84593,1266555,19223,7738,230472,230472,0,0,2013,"Financial Year (Apr - Mar), 2013"
MAHARASHTRA,2013-14,Budget Estimates,15580257,9854287,7196976,3905277,593566,65511,131253,194179,603049,814885,85389,278979,279583,226346,18957,2657312,725491,251443,3565,91050,56379,11884,132614,0,20885,68233,0,80430,9009,304796,4451,283721,190562,85856,4552,440877,428720,306789,29210,277578,0,436712,379350,57362,8148,146326,74673,51960,0,19694,5569007,164379,258895,258441,454,2269002,159200,2109802,56402,1628358,815256,758269,380033,45009,1626949,24668,377211,884952,133943,206176,1234754,15028,13566,156963,156963,0,0,2013,"Financial Year (Apr - Mar), 2013"
WEST BENGAL,2013-14,Accounts,9179727,5034524,3826185,1809704,371738,55904,105129,20836,413775,82829,14044,785329,85687,35340,45869,1208340,203125,60141,2758,29867,9574,11386,42387,0,15923,12962,0,13778,4348,424355,132105,98697,27368,47588,22926,103045,102070,75079,32623,42456,0,144158,61441,82717,2980,24797,8357,4070,5220,7150,4083388,64908,202842,201185,1657,2085681,10000,2075681,84474,1832678,1034548,747499,82051,76478,561733,17889,15938,393908,42952,91047,1163757,4466,4381,61816,61816,0,0,2013,"Financial Year (Apr - Mar), 2013"
WEST BENGAL,2013-14,Revised Estimates,9320367,5290288,3869169,1797603,346661,52106,104333,30313,478158,73262,18164,798389,96560,25840,47781,1421120,281176,99394,12038,39919,13901,16733,47527,0,18563,13431,0,12953,6718,472692,142895,114027,41013,52081,19932,129514,128143,90594,37846,52748,0,145618,59306,86312,4986,39617,9459,5069,9061,16028,3968197,71359,126563,122934,3629,1951795,10000,1941795,91295,1708596,904800,753206,70890,71014,575725,21643,16180,380346,57733,99822,1237050,5706,5501,61882,61882,0,0,2013,"Financial Year (Apr - Mar), 2013"
WEST BENGAL,2013-14,Budget Estimates,9189176,5348694,3954613,1937215,403567,46282,96927,26712,491049,93962,20242,658505,96569,36457,47125,1394081,308244,112523,12081,41672,15318,15768,50573,0,19559,14588,0,19384,6776,441278,133597,129725,47246,56469,25010,121350,120000,92261,39236,53025,0,124788,62357,62431,5280,37558,11112,4762,6133,15552,3779073,74861,128757,125036,3721,1954186,5000,1949186,98497,1699734,907286,743912,76000,74955,566864,27411,16042,382661,38192,102558,1048685,5720,5501,61409,61409,0,0,2013,"Financial Year (Apr - Mar), 2013"
GOA,2013-14,Budget Estimates,751039,545163,298022,135907,47180,1300,20812,1132,20746,13300,6586,47092,666,553,2749,247141,35834,13799,279,3332,6080,5281,4586,0,394,329,0,1607,147,10694,1029,10644,4034,4017,1820,116759,116549,29347,7939,20859,550,31507,16519,14987,754,10574,798,4413,1992,3371,205876,7941,6071,6058,13,85560,3000,82560,3065,64444,30910,29940,11262,3788,50904,3265,3410,26600,8325,9304,50000,5400,251,0,0,0,0,2013,"Financial Year (Apr - Mar), 2013"
GOA,2013-14,Revised Estimates,709221,506936,273448,125214,46696,1116,20986,1132,10705,11566,4929,46025,652,679,3749,233488,33961,13285,279,3322,5055,4946,4597,0,294,329,0,1707,147,11494,1018,10626,4034,4000,1820,113831,113621,24915,4109,20605,202,28061,16588,11473,894,8687,898,5413,491,1885,202285,8971,6224,6212,13,85560,3000,82560,3065,64444,30910,29940,11262,3788,49698,3265,3417,25595,8166,9255,50000,1832,265,0,0,0,0,2013,"Financial Year (Apr - Mar), 2013"
GOA,2013-14,Accounts,680328,472733,263416,122067,43449,1061,24474,1165,6057,6171,3967,51746,952,432,1874,209318,25873,11041,209,2304,2764,3627,4403,0,220,198,0,1005,104,9434,558,9130,3485,3462,1464,117803,117798,14634,2601,11831,202,24990,13815,11175,414,6482,565,4530,374,1013,207595,7217,4555,4555,0,92067,3000,89067,2280,65636,32526,29200,14022,7129,45724,3292,3232,24031,7847,7322,56500,1533,41,0,0,0,0,2013,"Financial Year (Apr - Mar), 2013"
HIMACHAL PRADESH,2013-14,Budget Estimates,1764698,1072949,671002,380854,96183,14732,68911,3666,18269,6105,14953,44395,3270,15538,4126,401947,136264,32940,4351,24146,1443,1569,40264,139,18348,10275,0,2788,0,47203,0,32735,2389,30320,26,29614,29217,8179,5652,2527,0,138590,125837,12753,1021,8341,2929,3011,1018,1383,691401,19048,21101,21011,89,243149,0,243149,6798,174526,101964,49179,61825,0,122818,6679,14828,61772,23033,16506,283992,1294,0,347,347,0,0,2013,"Financial Year (Apr - Mar), 2013"
MADHYA PRADESH,2013-14,Accounts,6986976,4473955,2776821,1369713,289289,39071,90521,34800,158824,241597,22163,279162,108432,114221,29027,1697134,621395,126874,6480,60403,0,5774,189045,0,174335,13801,0,44682,0,340556,0,78297,65919,12008,371,334048,329651,146931,28740,118191,0,141221,141198,23,12061,22625,2652,7244,11209,1520,2059093,83774,258368,258155,212,639132,0,639132,63777,466173,257972,163901,84605,24578,483363,14368,41870,329044,36337,61743,593174,1282,0,453929,453929,0,0,2013,"Financial Year (Apr - Mar), 2013"
MADHYA PRADESH,2013-14,Revised Estimates,7362333,4857314,3031553,1359759,329663,48209,90684,48423,207628,312745,29501,326652,130867,116428,30992,1825761,710283,184683,7433,71879,0,7749,188775,0,180486,14533,0,54744,0,438987,0,75371,61942,12780,650,327635,322939,81622,31200,50422,0,150139,150104,34,12172,29552,5037,8049,14146,2320,2080953,105697,237608,237308,300,635611,0,635611,67575,464993,252001,165000,78406,24637,497772,19407,51182,316816,40026,70340,601085,3179,0,424066,424066,0,0,2013,"Financial Year (Apr - Mar), 2013"
RAJASTHAN,2013-14,Budget Estimates,7619474,5267972,3062391,1626108,386411,79166,185870,6792,262978,104253,31919,142296,157855,70793,7949,2205581,361924,163192,7851,56941,87,1541,82000,0,0,13823,0,35699,791,473961,90,169327,144582,21521,0,938471,938289,23656,6620,17036,0,150679,141679,9000,4836,82636,14668,2989,49569,15409,2313922,69437,107442,107222,220,924112,0,924112,54478,616874,373023,199535,243830,8929,402654,14571,36014,292168,12392,47509,785135,25142,0,37581,37581,0,0,2013,"Financial Year (Apr - Mar), 2013"
NAGALAND,2013-14,Budget Estimates,614102,342320,174557,104972,25210,2798,5042,774,2982,5304,2318,10867,5952,5189,3150,167763,40898,17788,3710,6673,118,2412,5390,0,1786,1264,0,1757,0,12080,21604,18870,0,18870,0,29938,29602,7906,6332,1574,0,21498,15792,5706,1108,13861,9599,800,0,3462,271783,5684,5236,5231,5,57478,3600,53878,2223,46765,35043,1800,4890,0,129387,8655,9863,91548,7461,11860,73672,325,198,0,0,0,0,2013,"Financial Year (Apr - Mar), 2013"
NAGALAND,2013-14,Revised Estimates,631007,351064,189043,116422,25862,2774,5225,1667,2940,5301,2540,13276,5621,4222,3193,162022,37533,13318,3343,6898,118,3766,5437,0,1553,1308,0,1792,0,16857,13617,15888,0,15888,0,31201,30852,7725,6091,1634,0,23653,17330,6322,1112,14436,9741,1088,0,3607,279942,8387,5932,5927,5,57036,3600,53436,2012,46533,35043,1800,4890,0,138115,8951,9891,98328,7989,12956,70102,371,225,0,0,0,0,2013,"Financial Year (Apr - Mar), 2013"
NAGALAND,2013-14,Accounts,575035,301947,170156,103002,26229,2591,5236,1461,1582,2198,2545,10855,7039,4222,3196,131791,34126,11301,3661,6273,67,3259,4831,0,1551,1347,0,1835,0,8548,6747,8458,0,8458,0,29731,29383,6791,5157,1633,0,22330,16008,6322,675,14387,9840,1088,0,3460,273088,8357,5701,5696,5,50585,1200,49385,1892,42601,31977,1331,4892,0,138570,8553,10105,98751,8723,12437,69511,365,224,0,0,0,0,2013,"Financial Year (Apr - Mar), 2013"
MADHYA PRADESH,2013-14,Budget Estimates,7438865,4756618,3010070,1387225,343835,48265,101562,34601,187654,300052,26689,359925,136712,56901,26650,1746548,695893,181886,7129,72005,0,7727,189228,0,160752,11850,0,65315,0,464527,0,78987,66234,11999,754,257989,252967,80456,30897,49559,0,122326,122298,28,9692,36679,7203,6917,20286,2273,2229527,102262,245971,245671,300,651852,0,651852,72575,476543,242631,165000,85226,17508,572948,19792,51425,387476,42900,71356,653085,3409,0,452720,452720,0,0,2013,"Financial Year (Apr - Mar), 2013"
UTTAR PRADESH,2013-14,Budget Estimates,16789220,9177177,6621906,3530769,618449,275107,13910,6160,250326,516129,222233,1117335,0,47191,24296,2555271,528697,196120,79453,56162,10454,7901,50491,572,0,16302,0,109866,1375,604395,71803,574148,428028,107881,9000,466685,459075,49129,32778,15261,1090,215322,201316,14007,3625,41467,11761,2399,3012,24296,6634269,187988,288282,285890,2392,2603734,898280,1705454,124938,1294741,725653,498388,279239,6535,1464913,38790,69571,984422,169716,202414,2085939,3413,1,977774,977774,0,0,2013,"Financial Year (Apr - Mar), 2013"
UTTAR PRADESH,2013-14,Revised Estimates,16661759,9214250,6574930,3336502,597008,266192,13910,6324,238011,631035,276589,1138325,0,47214,23819,2639320,528691,203395,77634,53985,10431,7680,48232,545,0,16556,0,108927,1306,637786,36165,579018,431874,108061,10500,526583,518963,61281,32622,27568,1090,224972,211316,13656,3613,41212,11288,2857,2876,24190,6469736,186147,274836,272544,2291,2537783,836425,1701359,124938,1287188,698416,518071,282697,6535,1401040,37478,68351,933085,161750,200376,2065939,3991,1,977774,977774,0,0,2013,"Financial Year (Apr - Mar), 2013"
UTTAR PRADESH,2013-14,Accounts,15814687,8646701,6075628,3142517,547095,252668,13401,6557,251620,554653,198346,1049962,0,45482,13327,2571072,460480,149181,71956,53693,9856,5542,48339,516,0,15787,0,104417,1192,659594,28289,475812,333782,113404,10739,525669,518863,48660,24450,24136,74,337513,325641,11873,3566,31489,9348,1969,2605,17567,6198349,161926,262563,260683,1881,2577669,836425,1741244,122514,1273565,694527,515518,338620,6544,1240941,33759,58838,907257,65854,175233,1952121,3130,0,969637,969637,0,0,2013,"Financial Year (Apr - Mar), 2013"
BIHAR,2013-14,Accounts,6247723,4045490,2639485,1434354,175269,36074,69565,90830,136301,207360,11113,269784,122585,80248,6001,1406005,319327,168328,617,27341,4977,1167,22949,0,26680,43865,0,22760,643,405978,0,103903,38525,33944,23052,323574,318205,58024,4693,53332,0,138085,137510,575,0,57114,6185,1447,39636,9846,2201847,76827,67526,67168,358,589532,43627,545904,43431,422572,208101,194858,79000,902,519790,13339,35253,380466,38587,52144,948173,0,0,385,385,0,0,2013,"Financial Year (Apr - Mar), 2013"
BIHAR,2013-14,Revised Estimates,7929367,5361292,3522278,1901393,230409,47231,78736,104400,199622,249529,13114,414154,162926,102005,18757,1839014,431049,226509,5791,63380,15881,14080,23806,0,2166,56480,0,22224,733,484601,0,180706,45634,100198,25874,326389,320867,92686,14184,78502,0,188982,188004,978,0,134602,11634,2431,85422,35115,2567663,100061,91136,90738,398,632428,43627,588800,40347,457470,234814,191131,90250,734,616629,19080,49035,433738,45366,69411,1127409,0,0,412,412,0,0,2013,"Financial Year (Apr - Mar), 2013"
BIHAR,2013-14,Budget Estimates,7325762,4778435,3200463,1832262,229509,47231,68236,99400,178348,187812,11529,382420,100426,45094,18194,1577972,417518,227543,7491,63380,15881,14080,16838,0,2166,47190,0,22217,733,445516,0,129866,45641,49348,25877,247422,245400,66201,11784,54417,0,138982,138004,978,0,132467,13717,2342,84158,32250,2546915,99245,88892,88495,398,618142,29345,588797,40340,457673,235017,191131,90250,534,613231,18452,48750,433335,44982,67712,1127404,0,0,412,412,0,0,2013,"Financial Year (Apr - Mar), 2013"
SIKKIM,2013-14,Accounts,345796,195454,127636,64604,14458,1680,2219,17004,4029,2599,585,4404,879,10322,4853,67819,23560,5549,704,3317,174,451,7778,470,2500,0,0,1096,1522,9319,99,3978,0,3768,210,12044,11936,2991,1936,1055,0,12774,8809,3965,224,2829,623,1197,49,960,146800,5935,8898,8898,0,22116,1200,20916,1176,14747,10644,1495,4994,0,39649,3488,981,22190,4157,8833,26063,44138,43290,3541,3541,0,0,2013,"Financial Year (Apr - Mar), 2013"
SIKKIM,2013-14,Revised Estimates,403163,214602,128690,64267,14549,1667,2254,15471,4218,3881,802,5381,925,10399,4875,85912,32256,5589,729,3541,246,451,13498,475,2730,0,0,1128,3868,9059,100,14711,0,14301,210,11206,11098,2915,1819,1096,0,12402,8435,3967,268,2995,664,1204,58,1070,183050,6351,8934,8934,0,21872,1200,20672,1438,15408,11207,1673,3825,0,42921,3239,1013,23991,5325,9353,28357,74615,73603,5511,5511,0,0,2013,"Financial Year (Apr - Mar), 2013"
SIKKIM,2013-14,Budget Estimates,398331,211097,126288,63492,13494,1450,2254,15471,4218,3316,802,5370,925,10399,5097,84810,31378,5522,729,3541,246,436,12709,475,2724,0,0,1128,3868,9084,100,14705,0,14295,210,11206,11098,2815,1719,1096,0,12364,8397,3967,268,2891,653,1197,58,984,181723,6351,7735,7735,0,21872,1200,20672,1438,15408,11207,1673,3825,0,42793,3239,985,23991,5325,9253,28357,74615,73603,5511,5511,0,0,2013,"Financial Year (Apr - Mar), 2013"
HIMACHAL PRADESH,2013-14,Revised Estimates,1847261,1111458,692800,397786,97137,15532,64957,4343,18885,5853,8121,49276,6062,20136,4712,418658,147539,28902,4249,24402,1445,1863,42909,119,25241,15446,0,2963,0,50589,0,30453,2110,28320,22,29662,29280,7966,5528,2438,0,143421,127134,16287,761,8267,2141,3047,1741,1338,734894,19721,22035,21933,102,250323,0,250323,7973,174251,99717,51411,68099,0,130808,5638,15446,68642,23918,17164,309843,2165,0,909,909,0,0,2013,"Financial Year (Apr - Mar), 2013"
HIMACHAL PRADESH,2013-14,Accounts,1735248,1029657,670612,361669,86663,13466,75371,4376,27829,5565,6559,48891,5993,29672,4558,359045,142249,27251,4088,22418,1422,1858,41915,112,25186,15446,0,2553,0,43694,0,30301,2473,27648,180,2654,2300,6454,5032,1422,0,125676,109556,16120,631,7387,2319,3034,820,1214,704682,19437,20184,20092,92,248086,0,248086,7973,172233,97403,51411,67880,0,129312,6185,13593,67294,26439,15800,285508,2155,0,909,909,0,0,2013,"Financial Year (Apr - Mar), 2013"
KERALA,2013-14,Accounts,6048550,2890893,2097988,1170984,315336,35418,58060,11443,21375,163981,63277,220522,261,26116,11215,792905,389290,105284,6725,42039,13888,24800,37834,0,93185,34372,0,26521,4643,64070,10268,45176,23953,16426,3984,22570,21233,34913,32397,2516,0,175027,163234,11793,11212,40379,11853,14387,1588,12551,2660509,61077,104654,93083,11571,826538,0,826538,38131,578164,423356,109150,210244,0,334294,17195,26050,207044,13753,70252,997127,336818,320266,497147,497147,0,0,2013,"Financial Year (Apr - Mar), 2013"
KERALA,2013-14,Revised Estimates,6117520,3014367,2186156,1146358,294318,42459,64775,11333,129251,185716,72850,206158,319,21072,11547,828210,384891,104070,6989,39419,12113,23856,42864,0,89876,36183,0,25677,3845,67333,12239,47261,25746,9604,2485,24430,20633,34145,31155,2990,0,200106,187579,12527,12416,45390,15947,13964,2524,12956,2569577,62112,109978,98235,11743,817152,0,817152,34716,581914,426349,108943,200522,0,347344,15800,29313,211764,16440,74026,976965,256027,245708,533576,533576,0,0,2013,"Financial Year (Apr - Mar), 2013"
KERALA,2013-14,Budget Estimates,6032784,3102280,2268423,1185889,315425,50030,76491,11183,126986,183110,76772,214741,323,15884,11590,833858,401087,124703,6989,41009,15377,23400,42321,0,86756,36195,0,21975,2362,73607,12284,48315,26459,18504,2553,10580,5833,38461,35476,2985,0,186346,173369,12976,14507,48671,19156,14348,3528,11639,2410695,61901,110732,98990,11742,767348,0,767348,36684,555584,406342,104345,175080,0,343038,15839,25518,212247,16457,72977,943776,183900,181800,519809,519809,0,0,2013,"Financial Year (Apr - Mar), 2013"
NATIONAL CAPITAL TERRITORY OF DELHI,2013-14,Budget Estimates,2435470,1704077,1419645,604525,322011,9925,58100,49332,164497,28454,11732,131459,33099,2786,3724,284432,10194,2607,39,1894,400,68,3656,0,0,173,0,1116,241,993,0,12281,0,1537,10744,71850,71350,4167,3902,265,0,148208,43377,104831,2629,34110,823,2492,24558,6237,651436,72637,147484,147472,12,302500,0,302500,302500,0,0,0,0,0,112345,6863,15170,1925,45027,43360,15500,970,0,79956,79956,0,0,2013,"Financial Year (Apr - Mar), 2013"
NATIONAL CAPITAL TERRITORY OF DELHI,2013-14,Revised Estimates,2351508,1690299,1311991,586693,279325,7463,44770,45083,130801,32291,10150,134395,34161,2431,4428,378308,9344,2231,22,1615,1050,42,3034,0,0,171,0,979,200,951,0,12433,0,1538,10895,107318,107168,3546,3485,61,0,207695,52300,155395,3019,34003,707,1414,26055,5827,580759,74033,121387,121375,12,282430,0,282430,282430,0,0,0,0,0,101852,6549,11577,1824,45026,36876,250,808,0,80450,80450,0,0,2013,"Financial Year (Apr - Mar), 2013"
NATIONAL CAPITAL TERRITORY OF DELHI,2013-14,Accounts,2236652,1596454,1231454,565471,256071,6388,44770,43524,117977,23195,9213,128283,30776,1872,3914,365001,8687,1966,20,1448,1050,40,2873,0,0,163,0,935,192,913,0,11249,0,1225,10024,106934,106796,3047,3036,10,0,207063,51803,155260,2143,24965,650,987,18504,4824,559748,68211,115620,115616,4,282429,0,282429,282429,0,0,0,0,0,93539,5884,9435,1584,44322,32314,29,79,0,80450,80450,0,0,2013,"Financial Year (Apr - Mar), 2013"
PUDUCHERRY,2013-14,Budget Estimates,496459,349573,168901,61473,34068,491,4968,11336,11880,12124,2618,25367,3134,493,949,180672,27397,7720,229,3263,445,4648,504,0,7460,1723,0,758,648,2400,1300,2438,0,2236,202,128670,128670,5992,2888,3104,0,3948,3281,667,340,8187,2379,3913,1092,802,146343,3697,4076,4076,0,64069,13169,50900,18142,29056,24756,0,3600,102,27680,1967,435,13864,3331,8082,46690,131,0,542,542,0,0,2013,"Financial Year (Apr - Mar), 2013"
PUDUCHERRY,2013-14,Revised Estimates,465534,327859,167361,59103,34532,761,6857,3772,13042,15760,2496,25822,3301,1071,845,160497,26082,6965,205,3110,427,4781,501,0,7429,1381,0,634,649,2698,1200,2392,0,2183,209,111648,111648,5554,2694,2861,0,4086,3418,668,342,6494,815,4339,730,611,137196,3748,3779,3779,0,63146,15097,48050,18176,26224,22316,0,3550,100,26409,1964,406,13272,3462,7306,40000,115,0,479,479,0,0,2013,"Financial Year (Apr - Mar), 2013"
UTTARAKHAND,2013-14,Budget Estimates,1805421,1052227,776653,466954,89223,10631,48865,187,18261,24417,9672,82913,0,14481,11049,275573,139756,45777,0,12806,1477,897,37852,60,22806,13805,0,4277,0,54830,0,36322,29032,6890,400,683,61,4595,4031,564,0,26820,23420,3400,1565,11003,562,6986,618,2838,680428,22294,26821,26301,520,270085,16000,254085,5000,196559,94257,80000,42500,10026,162074,10768,9341,90796,34834,16335,198955,200,0,72766,72766,0,0,2013,"Financial Year (Apr - Mar), 2013"
UTTARAKHAND,2013-14,Revised Estimates,1900105,1174822,888164,453875,91135,10646,49745,187,32997,28667,12195,85817,0,110589,12311,286659,152200,51622,0,14032,2359,897,40428,60,23757,14849,0,4195,0,51472,0,34831,27541,6890,400,983,164,6648,5237,1411,0,27553,23540,4013,1573,11400,762,6990,635,3013,640914,23885,27833,27333,500,225085,500,224585,4500,167559,72257,75000,42500,10026,162457,11325,8978,90203,35349,16601,201455,200,0,84368,84368,0,0,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2013-14,Accounts,11037449,7325841,4495589,1847975,480742,96932,65220,61556,143295,717769,21035,440974,407675,176868,35548,2830252,393705,216206,3130,54274,0,6559,39833,0,956,57954,0,13669,1126,467730,0,886104,837012,35440,10870,741245,740745,79427,51684,27245,497,193539,169198,24341,1709,66794,35448,6352,12394,12600,3689854,101604,113226,107839,5387,1368956,77892,1291064,87705,1094122,775389,251376,109237,0,737790,17157,106234,505118,26519,82762,1368231,47,0,21754,21754,0,0,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2013-14,Revised Estimates,12674941,8621548,5308088,2079504,522132,122178,78597,94167,399493,966453,35403,489851,434311,59907,26091,3313460,590501,336578,7201,82446,0,19001,53390,0,12000,58850,0,19519,1516,658936,0,999865,927725,52738,11042,668365,663871,115005,74786,38919,1300,179495,155060,24434,3427,97866,42789,14084,19194,21799,4023055,106475,134066,134066,0,1529873,78000,1451873,114374,1219425,907370,244580,118074,0,831676,102823,151997,447705,34403,94747,1420945,20,0,30338,30338,0,0,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2013-14,Budget Estimates,12674941,8621548,5308088,2079504,522132,122178,78597,94167,399493,966453,35403,489851,434311,59907,26091,3313460,590501,336578,7201,82446,0,19001,53390,0,12000,58850,0,19519,1516,658936,0,999865,927725,52738,11042,668365,663871,115005,74786,38919,1300,179495,155060,24434,3427,97866,42789,14084,19194,21799,4023055,106475,134066,134066,0,1529873,78000,1451873,114374,1219425,907370,244580,118074,0,831676,102823,151997,447705,34403,94747,1420945,20,0,30338,30338,0,0,2013,"Financial Year (Apr - Mar), 2013"
KARNATAKA,2013-14,Accounts,8918957,5921472,3262189,1616555,358921,50385,52508,140421,74088,372016,28868,399522,85025,54205,29676,2659283,1258982,238723,23499,69274,84963,9670,156161,0,310665,49262,0,316766,0,228283,15239,73232,34277,21761,53,599571,598298,88205,63396,24809,0,256009,184838,71171,6085,133676,17472,10926,2755,102524,2495441,101040,185964,185145,819,783733,0,783733,75486,559774,336940,194520,148464,8,503044,13818,40225,301796,75522,71684,915182,6478,0,502044,502044,0,0,2013,"Financial Year (Apr - Mar), 2013"
